compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
"1S,3R-RSL-3",LightGBM,pathway_modules,multiomics_pathway,3,293,73,0.31839962687842366,0.3621806738245095,0.1923569656857478,0.14899334649119214,0.07753501099831717
"1S,3R-RSL-3",LightGBM,pathway_modules,multiomics_pathway,4,293,73,0.44925439799820055,0.4190114772306554,0.17836112698526913,0.1454571162459948,0.1991550053998693
"1S,3R-RSL-3",LightGBM,pathway_modules,multiomics_pathway,5,293,73,0.4601027499699821,0.44825990373935587,0.1803360823462307,0.14879941150470888,0.20578614937057393
docetaxel:tanespimycin (2:1 mol/mol),LightGBM,pathway_modules,multiomics_pathway,1,288,72,0.5289014502262831,0.43906360537655165,0.18825176292754237,0.1464784891140916,0.2417372807375202
docetaxel:tanespimycin (2:1 mol/mol),LightGBM,pathway_modules,multiomics_pathway,2,288,72,0.43762079888666006,0.46269856582416885,0.20094309245796677,0.15111116124657406,0.1658714917273284
docetaxel:tanespimycin (2:1 mol/mol),LightGBM,pathway_modules,multiomics_pathway,3,288,72,0.4178112738140011,0.34741784037558693,0.17707265333797248,0.1479390482801416,0.16718858551164373
docetaxel:tanespimycin (2:1 mol/mol),LightGBM,pathway_modules,multiomics_pathway,4,288,72,0.5482254724864486,0.5078461637404336,0.15787914115181456,0.12520824770794547,0.28689848786456673
docetaxel:tanespimycin (2:1 mol/mol),LightGBM,pathway_modules,multiomics_pathway,5,288,72,0.5922261736465175,0.6443179625699402,0.14203050068659187,0.11245794562575583,0.32249493119272354
Leptomycin B,LightGBM,pathway_modules,multiomics_pathway,1,298,75,0.4376282581217851,0.45396870554765295,0.16841943312564112,0.13684584149139473,0.16755971432579464
Leptomycin B,LightGBM,pathway_modules,multiomics_pathway,2,298,75,0.4043955232741596,0.4294736842105263,0.18325817081510934,0.14326557367920165,0.13638045435920132
Leptomycin B,LightGBM,pathway_modules,multiomics_pathway,3,298,75,0.3742458911985955,0.4250355618776671,0.16787424325877598,0.13105280274656125,0.12622918987465248
Leptomycin B,LightGBM,pathway_modules,multiomics_pathway,4,299,74,0.3413172266118401,0.30230285079600144,0.15420515486265618,0.1243229329864662,0.09167975340813161
Leptomycin B,LightGBM,pathway_modules,multiomics_pathway,5,299,74,0.425514075802435,0.5131877082562013,0.17516125938653324,0.12971938126871593,0.1708763566550201
KX2-391,LightGBM,pathway_modules,multiomics_pathway,1,284,71,0.5123473959545695,0.39815560026827623,0.14533189384793663,0.11891720955856082,0.2348135277913559
KX2-391,LightGBM,pathway_modules,multiomics_pathway,2,284,71,0.6189405143717845,0.6137878419719558,0.16961246615475548,0.14464640568819856,0.35292465014605534
KX2-391,LightGBM,pathway_modules,multiomics_pathway,3,284,71,0.5193882206866868,0.47545271629778674,0.15492508350669668,0.12452116035806392,0.17527395153034964
KX2-391,LightGBM,pathway_modules,multiomics_pathway,4,284,71,0.49353252244881696,0.4299463447350771,0.1721737462306521,0.13226734018728517,0.23249774011233615
